bench,weight,type,root00,root01,root02,root03,root04,root05,root06,root07,root08,root09,root10,root11,root12,root13,root14,root15,root16,root17,root18,root19,root20,root21,root22,root23,root24
accurate,2,objective,accurately,,,,,,,,,,,,,,,,,,,,,,,,
achieve,2,objective,achieving,achieves,achieved,achievable,,,,,,,,,,,,,,,,,,,,,
act,3,action,actionable,actions,action,,,,,,,,,,,,,,,,,,,,,,
address,3,action,addressing,addresses,addressable,,,,,,,,,,,,,,,,,,,,,,
adhere,3,action,adherences,adhesions,adhesiveness,adhesives,adherent,adhesivenesses,adhering,adhesive,adhesion,adhered,adheres,adherence,adherents,,,,,,,,,,,,
advantages,2,objective,advantageously,advantage,advantaging,advantageous,advantaged,,,,,,,,,,,,,,,,,,,,
advise,3,action,advisories,adviser,advisory,advising,advises,advisement,advisers,advisable,advisements,advisors,,,,,,,,,,,,,,,
affordable,4,objective,afforded,affording,afford,affords,,,,,,,,,,,,,,,,,,,,,
agile,3,objective,agility,,,,,,,,,,,,,,,,,,,,,,,,
align,3,action,alignments,alignment,,,,,,,,,,,,,,,,,,,,,,,
analyze,3,action,analyst,analyses,analyzer,analyzed,analytic,analysis,analyzers,analyzing,analyzes,analytically,analysts,,,,,,,,,,,,,,
assess,3,action,assessing,assessments,assessor,assessed,assesses,assessment,,,,,,,,,,,,,,,,,,,
assign,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
avoid,4,stop or avoid,avoiding,avoidances,avoidable,avoided,avoidance,avoids,,,,,,,,,,,,,,,,,,,
baseline,3,action or object,baselines,,,,,,,,,,,,,,,,,,,,,,,,
better,2,objective,good,goodness,,,,,,,,,,,,,,,,,,,,,,,
budget,3,action,budgeted,budgeting,budgetary,budgets,,,,,,,,,,,,,,,,,,,,,
build,3,action,building,builds,built,,,,,,,,,,,,,,,,,,,,,,
capability,2,object,capabilities,capable,,,,,,,,,,,,,,,,,,,,,,,
capture,3,action,capturing,,,,,,,,,,,,,,,,,,,,,,,,
change,3,action,changed,changers,changer,changing,changes,,,,,,,,,,,,,,,,,,,,
codify,3,action,codings,codified,coding,codes,codifying,coded,codification,codifies,codifications,code,,,,,,,,,,,,,,,
combine,3,action,combines,combinings,combinations,combined,combination,combining,,,,,,,,,,,,,,,,,,,
complete,3,action,complete,completing,,,,,,,,,,,,,,,,,,,,,,,
conclude,5,direct label,concludes,concluded,conclusions,concluding,,,,,,,,,,,,,,,,,,,,,
conclusion,5,direct label,,,,,,,,,,,,,,,,,,,,,,,,,
conduct,3,action,conducting,conducted,conducts,,,,,,,,,,,,,,,,,,,,,,
configure,1,action,configuring,,,,,,,,,,,,,,,,,,,,,,,,
consider,3,action,considers,considerations,consideration,considered,considering,,,,,,,,,,,,,,,,,,,,
construct,1,action,constructs,constructing,,,,,,,,,,,,,,,,,,,,,,,
continue,3,action,continued,continues,continuing,continuation,,,,,,,,,,,,,,,,,,,,,
control,3,action,controls,,,,,,,,,,,,,,,,,,,,,,,,
convene,3,action,convening,convenes,convention,convened,conveners,,,,,,,,,,,,,,,,,,,,
coordinate,3,action,coordinating,coordinates,coordinators,coordination,coordinations,coordinator,coordinated,,,,,,,,,,,,,,,,,,
cost,4,acquisition quality,costs,costly,costliness,costlinesses,costing,,,,,,,,,,,,,,,,,,,,
critical,3,emphasis,critically,,,,,,,,,,,,,,,,,,,,,,,,
decrease,3,action,decreasing,decreases,decreased,,,,,,,,,,,,,,,,,,,,,,
define,3,action,defined,defining,defines,,,,,,,,,,,,,,,,,,,,,,
develop,3,action,developing,develops,developed,,,,,,,,,,,,,,,,,,,,,,
direct,3,action,directed,directive,directives,directing,directs,,,,,,,,,,,,,,,,,,,,
disestablish,3,action,disestablishing,disestablished,,,,,,,,,,,,,,,,,,,,,,,
do not,4,stop or avoid,,,,,,,,,,,,,,,,,,,,,,,,,
dont,4,stop or avoid,,,,,,,,,,,,,,,,,,,,,,,,,
educate,3,action,education,,,,,,,,,,,,,,,,,,,,,,,,
eliminate,3,action,eliminates,eliminating,eliminated,,,,,,,,,,,,,,,,,,,,,,
encourage,3,action,encouraged,encourages,encouraging,,,,,,,,,,,,,,,,,,,,,,
establish,3,action,establishments,establishes,establishing,establishment,established,,,,,,,,,,,,,,,,,,,,
estimate,3,action,estimates,estimator,,,,,,,,,,,,,,,,,,,,,,,
evaluate,3,action,valuations,valuate,evaluative,,,,,,,,,,,,,,,,,,,,,,
execute,3,action,executing,executed,executes,,,,,,,,,,,,,,,,,,,,,,
expand,3,action,expanding,expands,expanded,,,,,,,,,,,,,,,,,,,,,,
feasible,2,objective,feasiblenesses,feasibleness,feasibilities,feasibly,feasibility,,,,,,,,,,,,,,,,,,,,
fence,3,action,fenced,,,,,,,,,,,,,,,,,,,,,,,,
finalize,2,action,finalizing,finalization,finalizations,finalizes,finalized,,,,,,,,,,,,,,,,,,,,
fix,3,action,fixing,fixed,fixes,,,,,,,,,,,,,,,,,,,,,,
focus,3,action,focussing,focuses,focusing,focussed,,,,,,,,,,,,,,,,,,,,,
follow,3,action,following,followed,followings,,,,,,,,,,,,,,,,,,,,,,
fund,3,action,funded,funds,funding,fundings,,,,,,,,,,,,,,,,,,,,,
give,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
guide,2,action,guidances,guided,guiding,guide,guides,,,,,,,,,,,,,,,,,,,,
identify,3,action,identifying,identify,,,,,,,,,,,,,,,,,,,,,,,
implement,3,action,implementing,implemented,implements,implementations,implementation,,,,,,,,,,,,,,,,,,,,
improve,4,action,improvement,improved,improves,improving,improver,improvements,,,,,,,,,,,,,,,,,,,
incentivize,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
include,3,action,included,includes,including,,,,,,,,,,,,,,,,,,,,,,
incorporate,3,action,incorporates,incorporating,,,,,,,,,,,,,,,,,,,,,,,
increase,3,action,increased,increasing,increases,,,,,,,,,,,,,,,,,,,,,,
institute,3,action,instituted,institutionalise,institutionalized,institutionalizing,institutes,institutionalizes,instituting,,,,,,,,,,,,,,,,,,
institutionalize,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
integrate,3,action,integrates,integral,integrate,integrations,integrators,integrating,,,,,,,,,,,,,,,,,,,
investigate,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
involve,3,action,involvement,involving,involvements,involved,involves,,,,,,,,,,,,,,,,,,,,
issue,3,action,issuers,issued,issues,issuing,issuer,issuings,,,,,,,,,,,,,,,,,,,
lead,3,action,leader,leadership,,,,,,,,,,,,,,,,,,,,,,,
leverage,3,action,lever,levering,levered,leverages,levers,,,,,,,,,,,,,,,,,,,,
lifecycle,4,object,,,,,,,,,,,,,,,,,,,,,,,,,
limit,3,action,limits,limited,limitations,limiting,limitation,,,,,,,,,,,,,,,,,,,,
long-standing,1,state,,,,,,,,,,,,,,,,,,,,,,,,,
maintain,3,action,maintaining,maintainers,maintained,maintains,maintenances,maintainer,maintenance,maintainable,,,,,,,,,,,,,,,,,
make,3,action,makings,making,makes,made,makers,,,,,,,,,,,,,,,,,,,,
manage,1,action,managing,manages,managers,managed,manageable,managerially,managements,management,manager,,,,,,,,,,,,,,,,
mandate,3,action,mandatary,mandates,mandator,mandatory,mandating,mandated,,,,,,,,,,,,,,,,,,,
measure,3,action,measurable,measurabilities,measurers,measurability,measurings,measuring,measurement,measurably,measures,measured,measurements,,,,,,,,,,,,,,
metrics,3,tools,metric,,,,,,,,,,,,,,,,,,,,,,,,
modernize,3,action,modernized,modernizations,modernizes,modernizing,modernization,,,,,,,,,,,,,,,,,,,,
monitor,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
more,1,scope,,,,,,,,,,,,,,,,,,,,,,,,,
move,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
must,2,directive,musts,,,,,,,,,,,,,,,,,,,,,,,,
need,2,recommendation subject,needn't,needing,needs,needed,,,,,,,,,,,,,,,,,,,,,
Nunn-McCurdy,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
optimize,3,action,optimizing,optimization,optimizations,optimums,optimizes,optimum,optimizations,optimized,optimize,optimally,optimize,optimal,,,,,,,,,,,,,
organize,3,action,organized,organizes,organizing,,,,,,,,,,,,,,,,,,,,,,
overrun,3,problem,overran,overrunning,overruns,,,,,,,,,,,,,,,,,,,,,,
oversee,3,action,oversight,,,,,,,,,,,,,,,,,,,,,,,,
performance,4,acquisition quality,performing,perform,performs,performed,performers,performer,,,,,,,,,,,,,,,,,,,
plan,3,action,planning,planned,,,,,,,,,,,,,,,,,,,,,,,
policy,1,tool or object,policies,,,,,,,,,,,,,,,,,,,,,,,,
POM,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
populate,3,action,populated,populating,,,,,,,,,,,,,,,,,,,,,,,
practices,1,tool or object,,,,,,,,,,,,,,,,,,,,,,,,,
prepare,3,action,prepares,prepared,preparing,,,,,,,,,,,,,,,,,,,,,,
price,3,action or object,pricing,prices,,,,,,,,,,,,,,,,,,,,,,,
prioritize,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
priority,1,*,,,,,,,,,,,,,,,,,,,,,,,,,
program objective memorandum,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
promulgate,3,action,promulgated,promulgating,,,,,,,,,,,,,,,,,,,,,,,
protect,3,action,protects,protecting,protected,,,,,,,,,,,,,,,,,,,,,,
provide,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
publish,3,action,publishes,published,publishing,,,,,,,,,,,,,,,,,,,,,,
quality,4,acquisition quality,,,,,,,,,,,,,,,,,,,,,,,,,
realign,3,action,realigning,realigns,realigned,,,,,,,,,,,,,,,,,,,,,,
rebuild,3,action,rebuilds,,,,,,,,,,,,,,,,,,,,,,,,
recommend,5,direct label,recommendation,recommendations,recommended,recommending,recommends,,,,,,,,,,,,,,,,,,,,
reduce,3,action,reduced,reducing,reduces,,,,,,,,,,,,,,,,,,,,,,
reestablish,3,action,reestablished,reestablishes,reestablishing,,,,,,,,,,,,,,,,,,,,,,
reform,3,action,reformed,reforms,,,,,,,,,,,,,,,,,,,,,,,
remove,3,action,removing,removed,removes,,,,,,,,,,,,,,,,,,,,,,
repeal,3,action,repealed,repeals,repealing,,,,,,,,,,,,,,,,,,,,,,
replace,3,action,replacing,replaces,replaced,,,,,,,,,,,,,,,,,,,,,,
request,3,action,requested,requesting,requests,,,,,,,,,,,,,,,,,,,,,,
require,3,action,requirement,required,requiring,requires,,,,,,,,,,,,,,,,,,,,,
resource,3,action,resources,resourcing,,,,,,,,,,,,,,,,,,,,,,,
responsive,2,objective,,,,,,,,,,,,,,,,,,,,,,,,,
restrict,3,action,restricted,restrictions,restricts,restricting,,,,,,,,,,,,,,,,,,,,,
retract,3,action,retracted,retracts,,,,,,,,,,,,,,,,,,,,,,,
review,3,action,reviewed,reviewing,reviews,,,,,,,,,,,,,,,,,,,,,,
revise,3,action,revising,revisings,revisers,revisal,revision,revisions,revises,reviser,revisals,revised,,,,,,,,,,,,,,,
risks,1,concerns,risking,risky,risked,risk,riskinesses,,,,,,,,,,,,,,,,,,,,
root cause,1,problem,,,,,,,,,,,,,,,,,,,,,,,,,
schedule,4,acquisition quality; action,scheduling,scheduled,,,,,,,,,,,,,,,,,,,,,,,
set,3,action,sets,,,,,,,,,,,,,,,,,,,,,,,,
should,4,qualifier,,,,,,,,,,,,,,,,,,,,,,,,,
specify,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
staff,3,action,staffed,staffing,,,,,,,,,,,,,,,,,,,,,,,
standardize,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
stop,3,stop or avoid,stopped,stops,stopping,,,,,,,,,,,,,,,,,,,,,,
strategy,1,action or approach,strategies,strategically,strategic,strategize,,,,,,,,,,,,,,,,,,,,,
structure,1,action,structuring,structured,,,,,,,,,,,,,,,,,,,,,,,
study,3,action,studies,,,,,,,,,,,,,,,,,,,,,,,,
suggest,5,direct label,suggested,suggesting,,,,,,,,,,,,,,,,,,,,,,,
support,1,action,supporting,supported,,,,,,,,,,,,,,,,,,,,,,,
sustainment,4,action,sustainable,sustainability,sustainabilities,sustain,sustaining,sustainments,sustains,sustained,,,,,,,,,,,,,,,,,
synchronize,3,action,synchronizes,synchronizing,,,,,,,,,,,,,,,,,,,,,,,
take,3,action,takes,taking,,,,,,,,,,,,,,,,,,,,,,,
task,3,action,tasked,tasks,tasking,,,,,,,,,,,,,,,,,,,,,,
test,3,action,tests,testings,tested,,,,,,,,,,,,,,,,,,,,,,
train,3,action,trained,trains,training,trainings,,,,,,,,,,,,,,,,,,,,,
transition,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
update,3,action,updated,updates,updating,,,,,,,,,,,,,,,,,,,,,,
use,3,action,,,,,,,,,,,,,,,,,,,,,,,,,
urge,5,direct label,urges,urging,urged,,,,,,,,,,,,,,,,,,,,,,
